Date,BIMAS,DOAS,EREGL,FROTO,GOLD,ISDMR,KRDMD,MGROS,PGSUS,SOKM,TAVHL,THYAO,TOASO,USDTRY,XU100
2016-01-01,25.674999237060547,11.020000457763672,1.5199999809265137,3.0280001163482666,,,1.090000033378601,17.450000762939453,3.592765092849731,,18.190000534057617,7.389999866485596,18.950000762939453,2.911900043487549,
2016-01-04,25.399999618530273,11.0,1.4800000190734863,3.0339999198913574,1075.0999755859375,,1.059999942779541,17.110000610351562,3.4679598808288574,,17.690000534057617,7.139999866485596,18.729999542236328,2.9161500930786133,
2016-01-05,25.5,11.020000457763672,1.4900000095367432,3.0299999713897705,1078.4000244140625,,1.0499999523162842,16.940000534057617,3.451591968536377,,17.799999237060547,7.239999771118164,19.18000030517578,2.964319944381714,
2016-01-06,25.174999237060547,10.93000030517578,1.559999942779541,3.038000106811523,1091.9000244140625,,1.0499999523162842,16.889999389648438,3.4495460987091064,,17.510000228881836,7.210000038146973,19.350000381469727,2.9850399494171143,
2016-01-07,25.350000381469727,10.90999984741211,1.5449999570846558,3.0439999103546143,1107.699951171875,,1.0499999523162842,16.6200008392334,3.4925119876861572,,17.389999389648438,7.320000171661377,19.670000076293945,3.000999927520752,
2016-01-08,24.84000015258789,10.739999771118164,1.4950000047683716,3.002000093460083,1097.800048828125,,1.0399999618530271,15.989999771118164,3.4393160343170166,,17.790000915527344,7.21999979019165,19.270000457763672,3.0004000663757324,
2016-01-11,24.600000381469727,11.119999885559082,1.5149999856948853,2.9839999675750732,1096.5,,1.0399999618530271,16.0,3.4393160343170166,,17.860000610351562,7.289999961853027,19.1200008392334,3.0348000526428223,
2016-01-12,24.950000762939453,11.3100004196167,1.5149999856948853,3.059999942779541,1085.5999755859375,,1.0499999523162842,16.09000015258789,3.455683946609497,,17.989999771118164,7.269999980926514,19.420000076293945,3.034290075302124,
2016-01-13,25.125,11.579999923706056,1.5299999713897705,3.0799999237060547,1087.5,,1.059999942779541,16.219999313354492,3.4720520973205566,,17.950000762939453,7.340000152587891,19.530000686645508,3.0319600105285645,
2016-01-14,25.174999237060547,11.350000381469728,1.5099999904632568,3.0220000743865967,1073.9000244140625,,1.0499999523162842,15.920000076293944,3.4168100357055664,,17.459999084472656,7.199999809265137,19.18000030517578,3.027100086212158,
2016-01-15,24.969999313354492,11.09000015258789,1.4800000190734863,3.013999938964844,1091.5,,1.0499999523162842,15.699999809265137,3.394304037094116,,17.1200008392334,7.099999904632568,18.950000762939453,3.0234999656677246,
2016-01-18,24.729999542236328,11.149999618530272,1.4950000047683716,3.002000093460083,,,1.0499999523162842,15.359999656677246,3.408626079559326,,17.280000686645508,7.159999847412109,18.780000686645508,3.0500600337982178,
2016-01-19,24.56999969482422,11.260000228881836,1.4950000047683716,3.075999975204468,1089.9000244140625,,1.0700000524520874,15.380000114440918,3.408626079559326,,17.079999923706055,7.230000019073486,19.219999313354492,3.034830093383789,
2016-01-20,24.260000228881836,10.890000343322754,1.4600000381469729,3.0460000038146973,1107.0999755859375,,1.0499999523162842,15.1899995803833,3.334969997406006,,16.399999618530273,7.050000190734863,18.59000015258789,3.0374200344085693,
2016-01-21,23.780000686645508,10.720000267028809,1.4450000524520874,2.990000009536743,1099.0999755859375,,1.0299999713897705,14.84000015258789,3.263360023498535,,16.079999923706055,7.059999942779541,18.75,3.040750026702881,
2016-01-22,23.780000686645508,10.720000267028809,1.4450000524520874,2.990000009536743,1097.199951171875,,1.0299999713897705,14.84000015258789,3.263360023498535,,16.079999923706055,7.059999942779541,18.75,3.015929937362671,
2016-01-25,24.3700008392334,10.979999542236328,1.524999976158142,3.119999885559082,1106.199951171875,,1.059999942779541,15.3100004196167,3.3186020851135254,,16.899999618530273,7.119999885559082,19.799999237060547,3.002350091934204,
2016-01-26,24.34000015258789,11.050000190734863,1.524999976158142,3.177999973297119,1121.699951171875,,1.059999942779541,15.399999618530272,3.343153953552246,,17.350000381469727,7.289999961853027,19.959999084472656,3.0218100547790527,
2016-01-27,24.920000076293945,10.880000114440918,1.5399999618530271,3.2179999351501465,1116.0999755859375,,1.0700000524520874,15.4399995803833,3.3656599521636963,,17.40999984741211,7.28000020980835,19.88999938964844,3.006769895553589,
2016-01-28,25.149999618530273,10.800000190734863,1.5299999713897705,3.200000047683716,1115.5999755859375,,1.0800000429153442,15.800000190734863,3.371798038482666,,17.469999313354492,7.230000019073486,20.219999313354492,2.9990200996398926,
2016-01-29,24.979999542236328,10.859999656677246,1.5449999570846558,3.2300000190734863,1116.4000244140625,,1.090000033378601,15.970000267028809,3.4024879932403564,,17.5,7.309999942779541,20.3799991607666,2.969510078430176,
2016-02-01,25.125,11.050000190734863,1.5499999523162842,3.2860000133514404,1127.9000244140625,,1.090000033378601,15.84000015258789,3.422947883605957,,16.950000762939453,7.289999961853027,20.86000061035156,2.9544999599456787,
2016-02-02,25.725000381469727,11.050000190734863,1.5399999618530271,3.309999942779541,1127.300048828125,,1.0800000429153442,15.630000114440918,3.371798038482666,,16.139999389648438,7.21999979019165,20.780000686645508,2.945349931716919,
2016-02-03,26.149999618530273,11.09000015258789,1.5549999475479126,3.2799999713897705,1141.300048828125,,1.059999942779541,15.510000228881836,3.371798038482666,,16.479999542236328,7.21999979019165,19.920000076293945,2.952660083770752,
2016-02-04,25.924999237060547,11.170000076293944,1.6050000190734863,3.313999891281128,1157.5999755859375,,1.0800000429153442,15.75,3.404534101486206,,16.639999389648438,7.289999961853027,20.059999465942383,2.9147000312805176,
2016-02-05,25.75,11.0600004196167,1.6399999856948853,3.2960000038146973,1157.800048828125,,1.0800000429153442,15.649999618530272,3.408626079559326,,16.479999542236328,7.230000019073486,20.059999465942383,2.9116098880767822,
2016-02-08,25.274999618530273,10.380000114440918,1.6100000143051147,3.257999897003174,1197.9000244140625,,1.0499999523162842,15.079999923706056,3.302233934402466,,16.3799991607666,6.889999866485596,19.690000534057617,2.9143800735473633,
2016-02-09,24.969999313354492,10.119999885559082,1.5700000524520874,3.186000108718872,1198.699951171875,,1.0299999713897705,14.649999618530272,3.287911891937256,,16.020000457763672,6.829999923706055,19.530000686645508,2.9459099769592285,
2016-02-10,24.780000686645508,10.1899995803833,1.565000057220459,3.2320001125335693,1194.699951171875,,1.0299999713897705,14.949999809265137,3.310417890548706,,15.75,6.880000114440918,19.899999618530273,2.9380500316619873,
2016-02-11,24.3799991607666,10.09000015258789,1.5549999475479126,3.1579999923706055,1247.9000244140625,,0.9900000095367432,14.84000015258789,3.277682065963745,,15.40999984741211,6.789999961853027,19.15999984741211,2.919100046157837,
2016-02-12,24.850000381469727,10.010000228881836,1.5399999618530271,3.2200000286102295,1239.0999755859375,,0.9800000190734864,14.859999656677246,3.2572219371795654,,15.449999809265137,6.659999847412109,19.030000686645508,2.9306800365448,
2016-02-15,24.899999618530273,9.949999809265137,1.5700000524520874,3.315999984741211,,,0.959999978542328,14.739999771118164,3.2101640701293945,,14.800000190734863,6.559999942779541,19.229999542236328,2.93530011177063,
2016-02-16,24.649999618530273,10.0600004196167,1.559999942779541,3.3340001106262207,1207.9000244140625,,0.959999978542328,14.579999923706056,3.1856119632720947,,14.739999771118164,6.619999885559082,18.75,2.945719957351685,
2016-02-17,25.25,10.3100004196167,1.5950000286102295,3.4800000190734863,1211.0999755859375,,0.9700000286102296,14.8100004196167,3.277682065963745,,15.399999618530272,6.829999923706055,18.899999618530273,2.9763200283050537,
2016-02-18,26.125,10.3100004196167,1.625,3.4200000762939453,1226.0999755859375,,0.9800000190734864,14.649999618530272,3.2899580001831055,,16.270000457763672,6.929999828338623,19.219999313354492,2.954900026321411,
2016-02-19,26.924999237060547,10.229999542236328,1.6150000095367432,3.359999895095825,1230.4000244140625,,0.9700000286102296,14.579999923706056,3.390212059020996,,15.890000343322754,6.849999904632568,19.059999465942383,2.9677999019622803,
2016-02-22,27.399999618530273,10.529999732971191,1.6299999952316284,3.3980000019073486,1209.5,,1.0,15.270000457763672,3.4761440753936768,,16.809999465942383,7.090000152587891,19.31999969482422,2.9509599208831787,
2016-02-23,27.524999618530273,10.619999885559082,1.684999942779541,3.4639999866485596,1222.300048828125,,1.059999942779541,15.4399995803833,3.504786968231201,,16.770000457763672,7.159999847412109,19.5,2.9347000122070312,
2016-02-24,27.399999618530273,10.550000190734863,1.6649999618530271,3.4260001182556152,1238.699951171875,,1.0499999523162842,15.010000228881836,3.480236053466797,,16.860000610351562,6.940000057220459,19.440000534057617,2.9410300254821777,
2016-02-25,27.950000762939453,10.619999885559082,1.684999942779541,3.450000047683716,1238.199951171875,,1.0700000524520874,15.25,3.5395689010620117,,17.309999465942383,7.099999904632568,19.63999938964844,2.9359099864959717,
2016-02-26,27.075000762939453,11.010000228881836,1.684999942779541,3.450000047683716,1219.800048828125,,1.059999942779541,15.229999542236328,3.498650074005127,,17.979999542236328,7.130000114440918,19.65999984741211,2.9268200397491455,
2016-02-29,27.375,11.279999732971191,1.725000023841858,3.490000009536743,1233.9000244140625,,1.090000033378601,15.25,3.5559370517730713,,17.450000762939453,7.320000171661377,20.100000381469727,2.987950086593628,
2016-03-01,27.375,11.420000076293944,1.7450000047683716,3.4739999771118164,1230.300048828125,,1.1100000143051147,15.40999984741211,3.543661117553711,,17.309999465942383,7.449999809265137,20.219999313354492,2.9629499912261963,
2016-03-02,27.5,11.31999969482422,1.7400000095367432,3.50600004196167,1241.0999755859375,,1.1299999952316284,15.779999732971191,3.5702590942382812,,17.510000228881836,7.46999979019165,20.86000061035156,2.9344899654388428,
2016-03-03,27.200000762939453,10.850000381469728,1.7350000143051147,3.502000093460083,1257.4000244140625,,1.149999976158142,15.920000076293944,3.6520988941192623,,17.209999084472656,7.420000076293945,20.18000030517578,2.9251699447631836,
2016-03-04,27.0,10.829999923706056,1.7699999809265137,3.502000093460083,1269.9000244140625,,1.1699999570846558,16.149999618530273,3.525247097015381,,17.049999237060547,7.630000114440918,20.059999465942383,2.9099700450897217,
2016-03-07,26.899999618530273,10.9399995803833,1.7999999523162842,3.496000051498413,1263.199951171875,,1.2699999809265137,16.860000610351562,3.5272929668426514,,17.239999771118164,7.610000133514404,20.399999618530273,2.9048800468444824,
2016-03-08,26.5,10.869999885559082,1.7949999570846558,3.4839999675750732,1262.0999755859375,,1.25,16.530000686645508,3.480236053466797,,17.1200008392334,7.570000171661377,20.100000381469727,2.91540002822876,
2016-03-09,27.0,10.989999771118164,1.7799999713897705,3.5859999656677246,1256.5999755859375,,1.2300000190734863,16.68000030517578,3.465914011001587,,17.1200008392334,7.690000057220459,20.63999938964844,2.9117701053619385,
2016-03-10,28.625,11.15999984741211,1.809999942779541,3.549999952316284,1272.0,,1.2699999809265137,17.020000457763672,3.427040100097656,,16.950000762939453,7.599999904632568,20.440000534057617,2.8930599689483643,
2016-03-11,28.725000381469727,11.31999969482422,1.825000047683716,3.553999900817871,1258.699951171875,,1.2400000095367432,16.920000076293945,3.4577300548553467,,16.979999542236328,7.789999961853027,20.1200008392334,2.891050100326538,
2016-03-14,29.075000762939453,11.329999923706056,1.8550000190734863,3.562000036239624,1244.4000244140625,,1.2599999904632568,17.200000762939453,3.4434080123901367,,17.299999237060547,7.909999847412109,20.600000381469727,2.871809959411621,
2016-03-15,29.200000762939453,11.359999656677246,1.8350000381469729,3.5899999141693115,1230.4000244140625,,1.2200000286102295,16.860000610351562,3.4311320781707764,,17.440000534057617,7.659999847412109,20.84000015258789,2.8708200454711914,
